Core Temperatures (avg) [°C],CPU Core [°C],CPU Package Power [W],Total CPU Utility [%],GPU Temperature [°C],GPU Hot Spot Temperature [°C],GPU Power [W],GPU Utilization [%],GPU Memory Usage [%],Physical Memory Load [%],Virtual Memory Load [%],Charge Level [%],Wear Level [%],GPU Bus Load [%],Framerate Displayed (avg) [FPS],Frame Time Presented (avg) [ms]
48.0,52.7,20.471,11.2,44.8,48.5,16.525,0,16.8,30.3,41.4,97,9,1,80.9,12.46
46.0,48.3,13.11,9.6,45.6,48.3,16.344,0,16.8,30.3,41.5,97,9,0,43.7,23.09
46.5,48.9,15.195,12.8,45.2,48.7,20.241,0,16.8,30.3,41.4,97,9,1,99.6,10.13
45.2,46.8,11.292,8.8,45.3,48.6,20.064,0,16.9,30.3,41.4,97,9,0,62.1,16.09
44.5,45.8,9.641,6.5,45.0,48.4,18.843,0,16.9,30.2,41.6,97,9,0,54.1,18.5
45.3,47.0,12.31,9.2,44.7,49.1,23.82,0,18.5,30.4,41.9,97,9,0,64.5,15.08
43.9,45.0,8.486,4.0,45.0,48.6,24.246,0,17.2,30.2,41.5,97,9,0,33.4,29.75
44.2,45.5,9.249,5.6,44.6,48.4,19.763,0,17.0,30.2,41.5,97,9,0,33.5,29.69
44.1,45.2,9.115,5.2,44.7,48.6,18.482,0,16.6,29.7,40.8,97,9,0,27.4,36.31
45.1,46.3,11.935,8.0,44.5,48.4,18.094,0,16.6,29.7,40.7,97,9,0,25.4,39.33
45.5,46.8,13.045,6.0,44.7,48.3,18.021,0,16.6,29.7,40.7,97,9,0,24.6,40.6
44.0,45.2,8.265,4.6,45.0,48.6,17.922,0,16.6,29.8,40.7,97,9,0,24.3,41.22
44.2,45.4,9.018,5.8,44.5,48.3,18.037,0,16.7,29.7,40.8,97,9,0,24.5,40.96
43.7,44.8,7.833,4.0,44.5,48.2,18.097,0,16.7,29.7,40.8,97,9,0,24.2,41.37
43.8,45.0,8.348,4.7,44.4,48.5,18.846,0,16.8,29.7,40.8,97,9,0,27.1,36.94
44.3,45.7,9.953,7.2,44.3,48.2,21.544,0,16.7,29.7,40.7,97,9,0,44.9,22.54
44.1,45.6,9.436,6.0,44.5,48.4,18.903,0,17.2,29.7,40.8,97,9,0,83.4,11.47
43.8,45.1,8.658,5.2,44.4,48.2,17.586,0,17.1,29.7,40.8,97,9,0,83.4,11.47
